t[s],x[m],y[m]
0.0,-1.03379034996,-0.944667756557
0.209218263626,-1.03379034996,-0.944667756557
0.454144239426,-1.01537632942,-0.922343432903
0.692696332932,-0.993404209614,-0.929991960526
1.05687642097,-1.00373208523,-0.981929421425
1.20285558701,-1.00373208523,-0.981929421425
1.44504642487,-0.993303835392,-0.9133695364
1.68902635574,-1.02506577969,-0.9276714921
2.05642986298,-1.01937890053,-0.923897087574
2.19731760025,-1.01937890053,-0.923897087574
2.44564604759,-1.01716113091,-0.934889435768
2.71320080757,-1.01937186718,-0.939711749554
3.02699184418,-1.02228283882,-0.947546124458
3.19695925713,-1.02317094803,-0.933716118336
3.45205426216,-0.985159337521,-0.906199395657
3.69500041008,-0.985159337521,-0.906199395657
4.04209041595,-1.04196798801,-0.905120193958
4.19128727913,-1.0026268959,-0.923244416714
4.4406542778,-1.01725542545,-0.924340426922
4.69055843353,-1.02323901653,-0.936317741871
5.08574748039,-1.01361548901,-0.957238852978
5.19862771034,-1.02614784241,-0.946074128151
5.44939112663,-1.01077485085,-0.918807983398
5.70056462288,-1.01199364662,-0.967498123646
6.07088041306,-1.01199364662,-0.967498123646
6.19517731667,-1.01796710491,-0.94888728857
6.44257926941,-1.0133446455,-0.913476765156
6.69470787048,-1.01875579357,-0.931523740292
7.0812087059,-1.02135360241,-0.929038345814
7.19785952568,-1.02135360241,-0.929038345814
7.44656610489,-1.00303959846,-0.962275326252
7.68990969658,-1.01113879681,-0.943291604519
8.05375647545,-1.00443041325,-0.97247594595
8.19818305969,-1.01232993603,-0.923735260963
8.44663405418,-1.01232993603,-0.923735260963
8.69192099571,-1.02574920654,-0.992457091808
8.99993014336,-0.95876711607,-0.95155364275
9.20996689796,-0.992969274521,-0.887749016285
9.4476211071,-0.967697679996,-0.92195636034
9.70732212067,-0.996339023113,-0.936591148376
9.99627971649,-0.981897473335,-0.942971587181
10.2047305107,-0.983997523785,-1.02246546745
10.4418354034,-0.983997523785,-1.02246546745
10.718993187,-0.854971408844,-0.858502388
11.0006756783,-0.998631834984,-0.992812216282
11.1973907948,-0.998631834984,-0.992812216282
11.4419341087,-1.0477745533,-1.6589589119
11.7253041267,-1.14976859093,-1.71835458279
12.0008642673,-1.06680941582,-1.20650887489
12.1995337009,-1.08684968948,-1.11074638367
12.4408860207,-1.08684968948,-1.11074638367
12.7301235199,-1.08502161503,-1.06751060486
13.0016601086,-1.15438127518,-1.07980334759
13.2134664059,-1.10898661613,-1.06220984459
13.4543545246,-1.10898661613,-1.06220984459
13.7322149277,-1.10113823414,-1.67036962509
14.0134084225,-1.13010036945,-1.45912051201
14.2021248341,-1.19827365875,-1.35322105885
14.4546208382,-1.32407343388,-0.976002454758
14.7093071938,-1.27858161926,-1.69971072674
15.0090866089,-1.23676002026,-1.84131252766
15.1941566467,-1.23676002026,-1.84131252766
15.4478406906,-1.30204164982,-1.30515301228
15.6983067989,-1.17966222763,-1.06718480587
16.0106704235,-1.17966222763,-1.06718480587
16.2022535801,-1.35273694992,-1.14008808136
16.4664003849,-1.38332176208,-1.1201890707
16.7005982399,-1.31962502003,-1.12365138531
16.9598798752,-1.26953315735,-0.968243896961
17.224946022,-1.26953315735,-0.968243896961
17.4516172409,-1.17651641369,-1.47402310371
17.690207243,-1.1529198885,-1.16004645824
17.9995923042,-1.25957775116,-1.114366889
18.2190687656,-1.28897476196,-1.10086739063
18.4399602413,-1.28897476196,-1.10086739063
18.6914100647,-1.18478560448,-1.34427058697
19.015055418,-1.30390381813,-1.55416488647
19.2340443134,-1.17525362968,-0.66200453043
19.4429297447,-1.17525362968,-0.66200453043
19.6929154396,-1.05864238739,-0.2800347507
